Nombre común |Nombre Ingles |Nombre científico |Clase|Orden |Familia|Golfo de México|Mar Caribe|Pacífico |Fuera del país |Grupo |Nacional/Importado |Objetivo |incidental |Deportiva |Fomento |Cultivada|Cartel |Tríptico |Tallas de captura (cm)|Tipo de captura (Selectiva, No selectiva |Tipo de arte de pesca|Lista roja IUCN|CITES|NOM-059-SEMARNAT-2010|Tipo de Veda|Veda|Generalidades |Distribución |Cultivada / capturada|Comercio|País de importación |Carta Nacional Pesquera (2012) Pacífico zona 1|Carta Nacional Pesquera (2012) Pacífico zona 2|Carta Nacional Pesquera (2012) Pacífico zona 3 |Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 1 |Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 2 |Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 3 |Estado según Arreguín et al. Litoral Oriental del Golfo de California |Estado según Arreguín et al. Litoral centro del Pacífico mexicano|Estado según Arreguín et al. Golfo de Tehuantepec |Estado según Arreguín et al. De Tamaulipas a Tabasco|Estado según Arreguín et al.  Banco de Campeche
Cirujano aleta amarilla|Yellowfin Surgeonfish|Acanthurus xanthopterus|Actinopterygii|Perciformes|Acanthuridae|0|0|1|0|Escama|Nacional|0|1|0|0|0|||25-60|No selectiva|Línea de mano o cuerda, red agallera de fondo y palangre escamero (cimbra).||||||Especie marina de hábitos costeros. Vive en arrecifes coralinos y rocosos. Se alimenta de algas microscópicas (diatomeas) y detritus.|Se distribuye en el Indo Pacífico y Pacífico Oriental, desde el este de África, Australia, Japón, Golfo de California, Panamá e Islas Galápagos.|Capturada|Se utiliza la carne.||Sin datos|Sin datos|Sin datos||||||||
Cirujano pardo||Acanthurus bahianus |Peces óseos|Perciformes|Acanthuridae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Cirujano rayado||Acanthurus chirurgus |Peces óseos|Perciformes|Acanthuridae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Cirujano azul||Acanthurus coeruleus |Peces óseos|Perciformes|Acanthuridae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Macabí de hebra|Shafted Bonefish|Albula nemoptera|Actinopterygii|Albuliformes|Albulidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|||30-50|No selectiva|Red de enmalle o chinchorro lisero.||||||Especie marina de hábitos costeros. Vive en estuarios y en la boca de los ríos. Se alimenta de peces y crustáceos.   |Se distribuye en las costas de Chiapas, Nicaragua, Costa Rica y Panamá en ambas cotas, Pacífico y Atlántico.|Capturada|Se utiliza la carne.||Sin datos|Sin datos|Sin datos||||||||
Macabí|Bonefish Macabi|Albula vulpes|Actinopterygii|Albuliformes|Albulidae|0|0|1|0|Escama|Nacional|0|1|1|0|0|||20-40|No selectiva|Red de enmalle o chinchorro lisero.|Casi amenazada|||||Especie marina de hábitos costeros. Vive en estuarios y en la boca de los ríos. Se alimenta de peces y crustáceos.   |Se distribuye en el océano Pacífico y Atlántico.|Capturada|Se utiliza la carne.||Sin datos|Sin datos|Sin datos||||||||
Zorro pelágico|Pelagic Thresher|Alopias pelagicus|Chondrichthyes|Lamniformes|Alopiidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|||160-360|Selectiva|Palangres y redes de enmalle establecidos en la NOM-029-PESCA 2006 de Tiburones y Rayas.  |Vulnerable|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos pelágicos y altamente migratorios. Se alimenta principalmente de calamares.|Se distribuye casi en todo el Pacífico. |Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
Tiburón zorro ojón|Bigeye Thresher|Alopias superciliosus|Chondrichthyes|Lamniformes|Alopiidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|||140-460|Selectiva|Palangres y redes de enmalle establecidos en la NOM-029-PESCA 2006 de Tiburones y Rayas.  |Vulnerable|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos pelágicos y costeros. Se alimenta de peces y cefalópodos.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
Tiburón zorro común|Thresher Shark|Alopias vulpinus|Chondrichthyes|Lamniformes|Alopiidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|||160-600|Selectiva|Palangres y redes de enmalle establecidos en la NOM-029-PESCA 2006 de Tiburones y Rayas.  |Vulnerable|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos pelágicos y a veces costeros. Se alimenta de peces, cefalópodos, crustáceos y aves.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
Anguila europea|European Eel|Anguilla anguilla|Actinopterygii|Anguilliformes|Anguillidae|0|0|0|1|Peces importados |Importado |0|0|0|0|1|||30-130|Selectiva|Cultivos de engorda.|En peligro crítico|Apéndice II||||Especie de agua dulce y salada. Se alimenta de invertebrados y pequeños peces. |Se distribuye en ríos que desembocan en el Atlántico Norte, el Mar Báltico y el Mediterráneo. Vive a lo largo de las costas de Europa, desde el Mar Negro hasta el Mar Blanco.|Cultivada|Fresco, congelado. ||Sin datos|Sin datos|Sin datos||||||||
Bacalao Negro|Sablefish|Anoplopoma fimbria |Actinopterygii|Scorpaeniformes |Anoplopomatidae|0|0|1|0|Bacalaos|Nacional|1|0|0|0|0|||50-100|Selectiva|Línea de trampa y palangre de anzuelo cebado.||||||Especie marina de hábitos bentónicos. Vive a profundidades que van de los 300 a 600 metros. Se alimenta de crustáceos, poliquetos y pequeños peces.   |Se distribuye en el Pacífico Norte, desde Japón, Mar de Bering, hasta Baja California Sur.|Capturada|Se utiliza la carne y su aceite de hígado. ||Con potencial de desarrollo|Sin datos|Sin datos||||||||
Bagre maya||Ariopsis assimillis|Peces óseos|Siluriformes|Ariidae|1|0|0|0|Bagres||1|0|0|0|0||||||||||||||||||||||||||
Bagre||Ariopsis felis|Peces óseos|Siluriformes|Ariidae|1|0|0|0|Bagres||1|0|0|0|0||||||||||||||||||||||||||
Bagre cuatete|Widehead Sea Catfish|Ariopsis guatemalensis|Actinopterygii|Siluriformes|Ariidae|0|0|1|0|Bagres|Nacional|1|0|0|0|0|||20-40|No selectiva|Red de enmalle o chinchorro lisero.||||||Especie marina de hábitos costeros. Vive en fondos fangosos. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde México a Costa Rica.|Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||Máximo aprovechamiento|sobre pesca|Máximo aprovechamiento||
Bagre tete|Tete Sea Catfish|Ariopsis seemanni|Actinopterygii|Siluriformes|Ariidae|0|0|1|0|Bagres|Nacional|1|0|0|0|0|||15-35|No selectiva|Red de enmalle de superficie tipo agallera, línea de mano y arpón.   ||||||Especie marina de hábitos costeros. Vive en fondos fangosos. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde el Golfo de California hasta Perú.    |Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||Sin datos|Sin datos|Sin datos||
Bagre bandera|Gafftopsail Catfish|Bagre marinus|Actinopterygii|Siluriformes|Ariidae|1|1|0|0|Bagres|Nacional|1|0|0|0|0|Cartel |Tríptico  |25-70|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa.||||||Especie predominantemente marina. Vive en estuarios y manglares a profundidades menores de los 50 metros. Se alimenta de pequeños peces e invertebrados. Desova de mayo a agosto en la zona norte del Golfo de México.|Se distribuye en la costa del Atlántico, desde Estados Unidos a Brasil. |Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos|Desconocida|Máximo aprovechamiento permisible|Desconocida|||||
Bagre chihuil|Chihuil Bagre|Bagre panamensis|Actinopterygii|Siluriformes|Ariidae|0|0|1|0|Bagres|Nacional|1|0|0|0|0|Cartel |Tríptico  |22-40|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en fondos fangosos. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||Máximo aprovechamiento|Máximo aprovechamiento|sobre pesca||
Bagre barbón|Long-Barbeled Sea Catfish|Bagre pinnimaculatus|Actinopterygii|Siluriformes|Ariidae|0|0|1|0|Bagres|Nacional|1|0|0|0|0|||30-90|No selectiva|Red de enmalle de superficie tipo agallera, línea de mano y arpón.   ||||||Especie marina de hábitos costeros. Vive en fondos fangosos. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||Máximo aprovechamiento|sobre pesca|Máximo aprovechamiento||
Bagre prieto||Cathorops melanopus|Peces óseos|Siluriformes|Ariidae|1|0|0|0|Bagres||1|0|0|0|0||||||||||||||||||||||||||
Cochi|Finescale Triggerfish|Balistes polylepis|Actinopterygii|Tetraodontiformes|Balistidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|||40-70|No selectiva|Línea de mano, red agallera de fondo, palangre escamero.     ||||||Especie marina de hábitos costeros. Vive en arrecifes rocosos y de coral. Se alimenta de erizos, pequeños crustáceos y moluscos.      |Se distribuye en casi todo el Océano Pacífico.       |Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Cochito bota|Blunthead Triggerfish|Pseudobalistes naufragium|Actinopterygii|Tetraodontiformes|Balistidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|||40-100|No selectiva|Línea de mano, red agallera de fondo, palangre escamero.     ||||||Especie marina de hábitos costeros. Vive en arrecifes rocosos y de coral. Se alimenta de erizos, pequeños crustáceos y moluscos.      |Se distribuye en el Pacífico Oriental, desde Baja California, Golfo de California, hasta Chile e Islas Galápagos.|Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Cochito naranja|Orangeside Triggerfish|Sufflamen verres|Actinopterygii|Tetraodontiformes|Balistidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|||25-40|No selectiva|Línea de mano, red agallera de fondo, palangre escamero.     ||||||Especie marina de hábitos costeros. Vive en arrecifes rocosos y de coral. Se alimenta de erizos, pequeños crustáceos y moluscos.      |Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||Sin datos|Sin datos|Sin datos||
Agujón californiano|California Needlefish|Strongylura exilis|Actinopterygii|Beloniformes|Belonidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|||30-90|No selectiva|Red de enmalle de superficie tipo agallera, línea de mano y arpón.   ||||||Especie marina de hábitos pelágicos y costeros. Vive en zonas cerca de manglares, bahías y puertos. Se alimenta de pequeños peces.   |Se distribuye en el Pacífico Oriental, desde California, Perú e Islas Galápagos.|Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Lenguado||Bothus ocellatus|Peces óseos|Pleuronectiformes|Bothidae |1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Lenguado||Bothus robinsi|Peces óseos|Pleuronectiformes|Bothidae |1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Esmedregal ||Seriola dumerili|Peces óseos|Perciformes|Carangidae|1|1|0|0|Esmedregal ||0|1|0|0|0||||||||||||||||||||||||||
Medregal fortuno|Fortune Jack|Seriola peruana|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Esmedregal |Nacional|1|0|0|0|0|||40-60|No selectiva|Red agallera de superficie, chinchorro playero, almadraba y curricán.||||||Especie marina de hábitos pelágicos y costeros. Vive cerca de los arrecifes rocosos. Se alimenta de peces y crustáceos.  |Se distribuye en el Pacífico Oriental, desde México hasta Ecuador e Islas Galápagos. |Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Sin datos||||||||
Esmedregal/Medregal limón |Almaco Jack|Seriola rivoliana|Actinopterygii|Perciformes|Carangidae|1|1|1|0|Esmedregal |Nacional|1|1|0|0|0|Cartel |Tríptico  |90-150|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos pelágicos. Vive cerca de la costa y sobre la plataforma continental. Se alimenta de peces y camarones.|Se distribuye en el Atlántico occidental, desde Nueva Escocia (Canadá), hasta Brasil. |Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Sin datos|Sin datos|Desconocida|Desconocida|Desconocida|Sin datos|colapso|colapso||
Coronado esmedregal |Banded Rudderfish|Seriola zonata|Actinopterygii|Perciformes|Carangidae|1|1|0|0|Esmedregal |Nacional|1|0|0|0|0|Cartel |Tríptico  |50-75|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica. ||||||Especie marina que vive asociada a arrecifes. Se alimenta de peces e invertebrados.|Se distribuye en todo el Atlántico y Pacífico.|Capturada|Se utiliza la carne. |||||Desconocida|Desconocida|Desconocida|||||
Jureles |Mackereles|Trachurus spp.|Peces óseos|Perciformes|Carangidae|0|0|0|1|Peces importados ||0|0|0|0|0||||||||||||||Congelado. |Estados Unidos, Canada.|||||||||||
Jurel de hebra|Threadfin Jack|Caranx otrynter|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Jureles |Nacional|1|0|0|0|0|||30-60|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos pelágicos. Se alimenta de peces y camarones.  |Se distribuye en el Pacífico Oriental, desde México hasta Ecuador e Islas Galápagos.|Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
Cocinero|Cocinero|Caranx vinctus|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|||20-40|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos pelágicos. Vive cerca de la costa y sobre la plataforma continental. Se alimenta de peces y camarones.|Se distribuye en el Pacífico Oriental, desde el sur de California, Golfo de California, Ecuador e Islas Malpelo. |Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||Sin datos|Sin datos|Sin datos||
Jurel bonito|Green Jack|Caranx caballus|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Jureles |Nacional|1|0|0|0|0|Cartel |Tríptico  |40-55|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos pelágicos. Vive en la zona de la plataforma continental y cerca de la costa. Se alimenta de peces, calamares, camarones y otros invertebrados. |Se distribuye en el Pacífico Oriental, desde California hasta Perú.|Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||sobre pesca|sobre pesca|máximo aprovechamiento||
Jurel toro|Pacific Crevalle Jack|Caranx caninus|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Jureles |Nacional|1|0|0|0|0|Cartel |Tríptico  |60-100|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos pelágicos. Vive en aguas costeras y oceánicas. Se alimenta de peces, camarones y otros invertebrados.|Se distribuye en el Pacífico Oriental, desde el sur de California hasta Perú.|Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||sobre pesca|sobre pesca|máximo aprovechamiento||
Jurel común|Crevalle Jack|Caranx hippos|Actinopterygii|Perciformes|Carangidae|1|1|0|0|Jureles |Nacional|1|0|0|0|0|Cartel |Tríptico  |74-124|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica. ||||||Especie totalmente marina. Los adultos viven en las bocas de los ríos, los juveniles viven en estuarios y cerca de los fondos fangosos, playas y pastos marinos. Se alimentan de peces, camarones y otros invertebrados.|Se distribuye en las costas del Atlántico oriental, desde Portugal hasta Angola, incluyendo el oeste del Mar Mediterráneo y en el Atlántico occidental, desde Nueva Escocia, Golfo de México y Uruguay.|Capturada|Se utiliza la carne. |||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||
Jurel blanco|Horse Eye Jack|Caranx latus|Actinopterygii|Perciformes|Carangidae|1|1|0|0|Jureles |Nacional|1|1|0|0|0|Cartel |Tríptico  |34-101|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina que vive en el mar abierto y en los arrecifes. Los juveniles viven cerca de las costas, en fondos arenosos y fangosos. Pueden vivir hasta 140 m de profundidad. |Se distribuye desde las costas del Atlántico occidental (Costa norte de los Estados Unidos, Bermudas, Golfo de México y Brasil.|Capturada|Se utiliza la carne. |||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||
Jurel negro||Caranx lugubris|Peces óseos|Perciformes|Carangidae|1|1|0|0|Jureles ||0|1|0|0|0||||||||||||||||||||||||||
Jurel voráz|Bigeye Trevally|Caranx sexfasciatus|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Jureles |Nacional|1|0|0|0|0|||50-120|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina. Vive en aguas costeras y cerca de los arrecifes rocosos y de coral. Se alimenta de peces y crustáceos. |Se distribuye en el Pacífico Oriental e Indo Pacífico, desde el sur de California a Ecuador.|Capturada|Se utiliza la carne. ||Sin datos|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||sobre pesca|sobre pesca|máximo aprovechamiento||
Jurel de castilla|Pacific Bumper|Chloroscombrus orqueta|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Jureles |Nacional|0|1|0|0|0|||15-30|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en aguas poco profundas en lagunas costeras y estuarios comúnmente en zonas de manglar. Se alimenta de peces y crustáceos.|Se distribuye en el Pacífico Oriental, desde el sur de California a Perú.  |Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Macarela salmón |Rainbow Runner|Elagatis bipinnulata|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|||90-180|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos oceánicos y costeros. Vive cerca de los arrecifes o en el mar abierto alrededor de objetos flotantes. Se alimenta de crustáceos y peces pequeños.   |Se distribuye desde el Atlántico Occidental y norte del Golfo de México, Atlántico Oriental y Mar Mediterráneo, Indo Pacífico y Pacífico Oriental, Golfo de California, Ecuador e Islas Galápagos.|Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
Jurelito chocho|Blackfin Jack|Hemicaranx zelotes|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|||20-40|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive cerca de los fondos y comúnmente penetra en los ríos. Se alimenta de peces y crustáceos.     |Se distribuye en el Pacífico Oriental, desde Baja California a Perú.      |Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Chicharro ojón|Bigeye Scad|Selar crumenophthalmus|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Jureles |Nacional|1|0|0|0|0|||30-70|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive cerca de las islas y arrecifes. Se alimenta de peces y crustáceos planctónicos y bentónicos.      |Se distribuye desde el Atlántico Occidental y norte del Golfo de México, Atlántico Oriental y Mar Mediterráneo, Indo Pacífico y Pacífico Oriental, Golfo de California, Ecuador e Islas Galápagos.|Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
Cojinuda||Carangoides bartholomaei|Peces óseos|Perciformes|Carangidae|1|1|0|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Cojiduda carbonera||Carangoides ruber|Peces óseos|Perciformes|Carangidae|1|1|0|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Cojinuda||Caranx crysos|Peces óseos|Perciformes|Carangidae|1|0|0|0|Otros||1|0|0|0|0||||||||||||||||||||||||||
Macarela mexicana|Amberstripe Scad|Decapterus muroadsi|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|||30-50|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos oceánicos y costeros. Se alimenta de invertebrados planctónicos.       |Se distribuye en el Indo Pacífico y Pacífico Oriental, desde el Golfo de California hasta Perú.        |Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Macarella caballa|Mackerel Scad|Decapterus macarellus|Actinopterygii|Perciformes|Carangidae|1|1|1|0|Escama|Nacional|0|1|0|0|0|||30-50|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos oceánicos. Vive cerca de las islas a profundidades que van de los 40 a 200 metros. Se alimenta del zooplancton.      |Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||Sin datos|Sin datos|Sin datos||
Piña bocona|Longjaw Leatherjack|Oligoplites altus|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|||30-60|No selectiva|Red de enmalle y red agallera de deriva.||||||Especie marina de hábitos costeros. Vive en estuarios y lagunas costeras. Se alimenta de peces e invertebrados. |Se distribuye en el Pacífico Oriental, desde México a Perú.  |Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Piña flaca|shortjaw Leatherjack|Oligoplites refulgens|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Sardinas|Nacional|1|0|0|0|0|||20-30|No selectiva|Red de cerco con jareta y pangón.    ||||||Especie marina de hábitos costeros. Vive en estuarios y desembocaduras de los ríos. Se alimenta de peces e invertebrados.     |Se distribuye en el Pacífico Oriental, desde México a Perú.  |Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Sin datos|Sin datos||||||||
Piña sietecueros|Leatherjack|Oligoplites saurus|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|||25-35|No selectiva|Red de enmalle o chinchorro lisero.      ||||||Especie marina de hábitos costeros. Vive cerca de las playas en bahías, ensenadas y estuarios. Se alimenta de peces y crustáceos.      |Se distribuye en el Océano Atlántico desde Maine, EE.UU, Golfo de México hasta Uruguay. En el Océano Pacífico desde Baja California a Ecuador.|Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Jorobado mexicano|Mexican Lookdown|Selene brevoortii|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|||25-40|No selectiva|Red de enmalle o chinchorro lisero.      ||||||Especie marina de hábitos costeros. Vive cerca de las playas en bahías, ensenadas y estuarios. Se alimenta de peces, crustáceos, calamares y poliquetos.|Se distribuye en el Pacífico Oriental, desde Baja California Sur a Ecuador.  |Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Medregal cola amarilla|Yellowtail Jack|Seriola lalandi|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Jureles |Nacional|1|0|0|0|0|||80-250|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros y oceánicos. Vive en las praderas de algas marinas, zonas rocosas y estuarios. Se alimenta de peces, calamares y crustáceos.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Sin datos|Sin datos||||||||
Charrito chícharo|Jack Mackerel|Trachurus symmetricus|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Escama|Nacional|1|0|0|0|0|||30-80|No selectiva|Red de enmalle y red agallera de deriva.||||||Especie marina de hábitos oceánicos.  Se alimenta de peces y crustáceos.   |Se distribuye en el Pacífico Oriental, desde Alaska a Islas Galápagos.    |Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Pámpano amarillo|Florida Pompano|Trachinotus carolinus|Actinopterygii|Perciformes|Carangidae|1|1|0|0|Pámpanos|Nacional|0|1|0|0|0|Cartel |Tríptico  |25-64|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de aguas costeras, vive asociada a bahías y estuarios, principalmente en playas arenosas. Se alimenta de moluscos, crustáceos, y pequeños peces.|Se distribuye en el Atlántico occidental, desde Massachusetts, hasta Argentina.|Capturada|Se utiliza la carne. |||||Desconocida|Desconocida|Desconocida|||||
Pámpano palometa|Permit|Trachinotus falcatus|Actinopterygii|Perciformes|Carangidae|1|0|0|0|Pámpanos|Nacional|0|1|0|0|0|Cartel |Tríptico  |48-122|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina que vive en zonas arrecifales y en fondos fangosos y arenosos. Se alimenta de moluscos, crustáceos, y pequeños peces.|Se distribuye en el Atlántico occidental, desde Massachusetts, hasta Brasil.|Capturada|Se utiliza la carne. |||||Desconocida|Desconocida|Desconocida|||||
Pámpano paloma|Paloma Pompano|Trachinotus paitensis|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Pámpanos|Nacional|0|1|0|0|0|||30-50|No selectiva|Red de enmalle y red agallera de deriva.||||||Especie marina de hábitos costeros. Vive en zonas arenosas poco profundas. Se alimenta de moluscos, peces y crustáceos.     |Se distribuye en el Pacífico Oriental, desde el sur de California a Perú.|Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Pámpano fino|Gafftopsail Pompano|Trachinotus rhodopus|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Pámpanos|Nacional|0|1|0|0|0|Cartel |Tríptico  |20-60|No selectiva|Chinchorro playero, red agallera, red de cerco.||||||Especie marina de hábitos costeros. Vive en las rompientes, en playas arenosas, arrecifes y zonas rocosas. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde el sur de California hasta Perú.|Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Pámpano de hebra||Alectis ciliaris |Peces óseos|Perciformes|Carangidae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Jorobado ||Selene brownii|Peces óseos|Perciformes|Carangidae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Jorobado||Selene setapinnis |Peces óseos|Perciformes|Carangidae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Jorobado||Selene vomer |Peces óseos|Perciformes|Carangidae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Pámpano||Trachinotus goodei|Peces óseos|Perciformes|Carangidae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
